CENTRE_CODE,SCHOOL,LOCALITY,YR3ENR,YR5ENR,YR7ENR,YR9ENR,YR3READMEAN,YR3WRITMEAN,YR3SPELMEAN,YR3GPMEAN,YR3NMCYMEAN,YR5READMEAN,YR5WRITMEAN,YR5SPELMEAN,YR5GPMEAN,YR5NMCYMEAN,YR7READMEAN,YR7WRITMEAN,YR7SPELMEAN,YR7GPMEAN,YR7NMCYMEAN,YR9READMEAN,YR9WRITMEAN,YR9SPELMEAN,YR9GPMEAN,YR9NMCYMEAN,YR3READPCTNMS,YR3WRITPCTNMS,YR3SPELPCTNMS,YR3GPPCTNMS,YR3NMCYPCTNMS,YR5READPCTNMS,YR5WRITPCTNMS,YR5SPELPCTNMS,YR5GPPCTNMS,YR5NMCYPCTNMS,YR7READPCTNMS,YR7WRITPCTNMS,YR7SPELPCTNMS,YR7GPPCTNMS,YR7NMCYPCTNMS,YR9READPCTNMS,YR9WRITPCTNMS,YR9SPELPCTNMS,YR9GPPCTNMS,YR9NMCYPCTNMS
"5452","All Saints Anglican School","Merrimac ","78","104","175","176","458","445","438","485","438","540","497","513","541","526","591","557","576","598","603","625","607","622","629","652","97%","99%","99%","99%","99%","98%","98%","99%","97%","98%","100%","98%","99%","99%","100%","99%","94%","99%","99%","99%"
"5600","All Saints Primary School (Albany Creek)","Albany Creek ","107","79","42","--","427","406","398","443","404","514","498","519","518","496","571","549","556","579","552","--","--","--","--","--","98%","99%","98%","99%","100%","99%","97%","100%","99%","96%","100%","95%","95%","100%","100%","--","--","--","--","--"
"5111","All Saints' School","Boonah ","28","31","14","--","388","396","354","390","351","506","480","493","504","501","546","522","556","563","545","--","--","--","--","--","92%","100%","92%","92%","92%","100%","100%","96%","96%","100%","100%","92%","100%","92%","100%","--","--","--","--","--"
"5451","All Souls St Gabriels School","Charters Towers ","15","13","15","57","378","373","388","410","369","483","459","457","453","466","552","505","513","531","519","549","502","533","548","564","79%","100%","93%","93%","100%","85%","92%","85%","92%","92%","100%","93%","93%","100%","100%","75%","56%","76%","82%","89%"
"155","Allenstown State School","Rockhampton ","45","48","43","--","364","360","362","364","336","461","408","457","446","423","522","463","513","506","504","--","--","--","--","--","74%","85%","76%","78%","78%","80%","70%","82%","78%","70%","83%","68%","80%","83%","83%","--","--","--","--","--"
"773","Alligator Creek State School","Alligator Creek Via Mackay ","52","42","44","--","423","421","395","448","400","481","464","466","485","464","521","473","527","526","527","--","--","--","--","--","100%","98%","100%","100%","100%","98%","90%","90%","90%","95%","95%","86%","93%","93%","100%","--","--","--","--","--"
"3","Allora State School","Allora ","27","16","14","19","381","368","373","377","362","475","451","496","503","455","513","472","495","501","496","548","508","559","550","567","92%","92%","88%","92%","88%","94%","94%","88%","100%","94%","80%","91%","82%","91%","100%","94%","71%","94%","76%","95%"
"430","Alloway State School","Bundaberg ","6","6","6","--","426","392","443","463","434","457","402","483","489","467","483","466","479","515","512","--","--","--","--","--","100%","100%","100%","100%","100%","80%","80%","80%","100%","80%","80%","80%","80%","100%","100%","--","--","--","--","--"
"870","Aloomba State School","Aloomba ","7","12","1","--","456","398","429","445","439","502","497","507","535","501","^","^","^","^","^","--","--","--","--","--","100%","100%","100%","100%","100%","100%","92%","92%","100%","100%","^","^","^","^","^","--","--","--","--","--"
"517","Alpha State School","Alpha ","5","9","10","7","432","328","421","427","404","522","500","530","551","519","526","491","548","533","519","583","554","579","607","573","100%","80%","100%","80%","100%","100%","100%","100%","100%","100%","100%","90%","100%","90%","100%","71%","57%","71%","71%","100%"
"1719","Amamoor State School","Amamoor ","11","8","7","--","368","372","375","404","415","470","459","429","452","470","545","507","506","525","536","--","--","--","--","--","73%","100%","100%","91%","91%","75%","88%","88%","75%","88%","71%","71%","71%","71%","71%","--","--","--","--","--"
"115","Amberley District State School","Yamanto ","99","96","30","--","409","368","400","426","391","479","437","475","479","464","514","508","546","518","515","--","--","--","--","--","91%","84%","91%","94%","90%","90%","79%","84%","85%","80%","93%","93%","97%","90%","97%","--","--","--","--","--"
"1415","Ambrose State School","Ambrose ","14","11","4","--","449","426","454","437","476","465","459","478","464","481","^","^","^","^","^","--","--","--","--","--","100%","100%","100%","100%","100%","91%","91%","100%","91%","100%","^","^","^","^","^","--","--","--","--","--"
"5077","Ambrose Treacy College","Indooroopilly ","--","116","121","--","--","--","--","--","--","527","475","503","514","515","572","524","544","555","572","--","--","--","--","--","--","--","--","--","--","95%","92%","95%","96%","97%","97%","95%","96%","97%","97%","--","--","--","--","--"
"1629","Amiens State School","Amiens ","6","8","5","--","334","319","323","378","357","462","365","425","449","433","495","481","494","521","494","--","--","--","--","--","83%","83%","83%","100%","100%","88%","63%","75%","88%","88%","80%","80%","80%","80%","100%","--","--","--","--","--"
"474","Anakie State School","Anakie ","13","10","12","--","393","396","373","455","344","488","436","456","492","447","541","524","535","553","524","--","--","--","--","--","83%","100%","83%","100%","82%","100%","89%","89%","100%","89%","91%","82%","91%","100%","100%","--","--","--","--","--"
"96","Ananda Marga River School","Maleny ","17","11","12","--","379","335","362","354","360","520","469","506","517","505","590","555","568","588","572","--","--","--","--","--","81%","94%","100%","75%","100%","100%","100%","100%","86%","100%","100%","100%","100%","100%","100%","--","--","--","--","--"
"1572","Andergrove State School","Andergrove, Mackay ","43","45","27","--","384","358","394","433","375","487","438","487","508","491","523","487","546","536","541","--","--","--","--","--","90%","92%","98%","95%","90%","88%","88%","95%","98%","100%","100%","84%","100%","96%","96%","--","--","--","--","--"
"5446","Anglican Church Grammar School","East Brisbane  ","46","111","153","228","464","444","437","466","462","535","503","516","546","533","587","536","563","591","614","623","606","607","613","646","100%","100%","98%","100%","100%","100%","97%","100%","100%","100%","100%","97%","97%","99%","100%","99%","98%","96%","97%","100%"
"5573","Annandale Christian College","Annandale ","52","48","30","53","427","404","414","432","404","497","464","507","525","494","577","513","542","571","578","597","554","577","593","582","96%","90%","94%","96%","98%","96%","90%","98%","98%","96%","100%","90%","86%","100%","100%","96%","85%","91%","85%","98%"
"440","Annandale State School","Annandale ","125","94","61","--","422","401","413","441","399","517","473","500","524","492","544","475","534","530","534","--","--","--","--","--","96%","95%","96%","96%","97%","93%","83%","88%","90%","93%","96%","84%","91%","86%","95%","--","--","--","--","--"
"1294","Applethorpe State School","Applethorpe ","1","4","3","--","^","*","*","*","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","^","*","*","*","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--"
"5316","Aquinas College","Southport ","--","--","--","220","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","580","561","584","574","584","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","98%","90%","95%","93%","97%"
"312","Aramac State School","Aramac ","8","2","2","4","301","316","274","308","340","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","50%","75%","38%","50%","100%","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^"
"1266","Aratula State School","Aratula ","5","5","1","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--"
"813","Arcadia Valley State School","Arcadia Valley Via Injune ","--","1","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"6125","Arethusa College","Deception Bay  ","--","--","--","17","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","467","264","459","434","469","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","33%","0%","40%","30%","67%"
"1997","Arundel State School","Arundel ","158","125","86","--","418","375","416","440","400","512","453","514","512","498","541","532","535","551","555","--","--","--","--","--","91%","88%","94%","93%","95%","93%","83%","93%","92%","95%","94%","90%","93%","98%","96%","--","--","--","--","--"
"296","Ascot State School","Ascot ","124","102","44","--","455","417","441","485","437","551","496","525","545","520","559","533","547","557","561","--","--","--","--","--","100%","98%","99%","100%","99%","100%","97%","100%","99%","99%","100%","95%","95%","98%","98%","--","--","--","--","--"
"186","Ashgrove State School","Ashgrove ","103","101","46","--","491","433","457","504","464","571","527","541","580","545","598","558","570","592","610","--","--","--","--","--","100%","99%","100%","100%","100%","99%","100%","100%","100%","100%","100%","98%","96%","98%","100%","--","--","--","--","--"
"1871","Ashmore State School","Ashmore ","122","99","42","--","420","411","416","450","431","535","496","513","536","509","564","531","545","566","572","--","--","--","--","--","96%","96%","95%","96%","97%","98%","94%","99%","98%","95%","97%","89%","95%","95%","100%","--","--","--","--","--"
"512","Ashwell State School","Ashwell Via Rosewood ","10","5","--","--","438","387","391","427","412","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1004","Aspley East State School","Aspley ","103","122","57","--","426","404","424","464","419","500","450","492","508","493","559","502","556","567","566","--","--","--","--","--","96%","96%","94%","97%","98%","94%","84%","95%","97%","97%","100%","89%","100%","95%","98%","--","--","--","--","--"
"3031","Aspley Special School","Aspley ","--","--","12","19","--","--","--","--","--","--","--","--","--","--","*","*","*","*","*","*","*","*","*","*","--","--","--","--","--","--","--","--","--","--","*","*","*","*","*","*","*","*","*","*"
"2076","Aspley State High School","Aspley ","--","--","--","124","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","569","545","568","556","577","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92%","80%","91%","86%","98%"
"610","Aspley State School","Aspley ","85","97","43","--","426","395","413","431","410","515","458","499","511","503","566","537","565","579","583","--","--","--","--","--","94%","96%","98%","95%","95%","97%","89%","97%","98%","97%","98%","98%","95%","100%","98%","--","--","--","--","--"
"5313","Assisi Catholic College","Upper Coomera ","84","84","106","143","411","405","403","422","393","508","480","509","501","479","539","521","546","530","527","573","565","579","558","571","98%","97%","100%","99%","100%","96%","95%","100%","96%","99%","97%","96%","99%","92%","99%","93%","90%","96%","90%","100%"
"5393","Assumption College","Warwick ","--","--","--","83","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","573","558","572","574","581","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","97%","90%","95%","92%","99%"
"2051","Atherton State High School","Atherton ","--","--","--","137","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","567","519","551","550","565","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","87%","69%","80%","82%","93%"
"789","Atherton State School","Atherton ","68","73","54","--","393","377","379","405","379","464","402","439","463","455","524","460","508","522","519","--","--","--","--","--","93%","94%","88%","97%","91%","82%","62%","80%","77%","85%","91%","81%","85%","91%","100%","--","--","--","--","--"
"357","Augathella State School","Augathella ","6","6","--","--","^","357","370","360","^","496","467","438","474","442","--","--","--","--","--","--","--","--","--","--","^","83%","83%","67%","^","100%","100%","83%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"7120","Augusta State School","Augustine Heights ","95","48","22","--","380","348","366","378","367","469","419","459","469","452","510","494","502","530","498","--","--","--","--","--","90%","88%","89%","92%","93%","91%","76%","81%","90%","91%","83%","89%","89%","83%","100%","--","--","--","--","--"
"274","Aurukun Campus of CYAAA","Aurukun ","23","20","14","--","252","199","248","277","265","322","307","407","339","337","371","264","428","368","421","--","--","--","--","--","48%","30%","43%","61%","63%","25%","8%","75%","25%","0%","9%","0%","46%","31%","45%","--","--","--","--","--"
"1677","Australian Christian College - Moreton","Caboolture  ","28","32","24","39","400","348","380","377","387","469","434","463","485","455","557","499","553","559","543","556","491","538","561","556","96%","92%","96%","85%","92%","76%","73%","87%","83%","83%","100%","91%","100%","100%","95%","85%","70%","74%","85%","97%"
"5396","Australian International Islamic College","Durack ","47","47","25","20","404","397","440","437","415","456","437","507","489","456","537","546","598","545","525","552","536","579","547","544","86%","82%","83%","86%","85%","87%","80%","88%","85%","83%","85%","79%","85%","80%","79%","90%","80%","100%","85%","95%"
"6057","Australian International Islamic College - Carrara","Carrara  ","7","1","4","7","360","413","424","380","380","^","^","^","^","^","^","^","^","^","^","553","489","530","539","524","86%","100%","100%","100%","100%","^","^","^","^","^","^","^","^","^","^","100%","71%","71%","86%","100%"
"2078","Aviation High School","Clayfield ","--","--","--","69","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","583","540","589","580","598","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95%","85%","95%","98%","98%"
"1901","Avoca State School","Bundaberg ","61","51","43","--","405","394","389","428","390","440","411","445","455","449","523","494","523","525","523","--","--","--","--","--","98%","98%","95%","95%","100%","73%","67%","85%","80%","81%","98%","95%","95%","95%","98%","--","--","--","--","--"
"572","Avondale State School","Avondale ","3","4","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"908","Ayr East State School","Ayr ","92","79","50","--","381","391","386","407","361","477","467","474","497","479","532","505","524","557","542","--","--","--","--","--","88%","96%","93%","94%","90%","92%","95%","96%","99%","97%","91%","91%","89%","91%","100%","--","--","--","--","--"
"2008","Ayr State High School","Ayr ","--","--","--","114","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","555","536","556","548","567","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","86%","76%","86%","78%","97%"
"451","Ayr State School","Ayr ","21","24","17","--","332","261","299","226","325","378","331","403","407","409","481","431","469","475","479","--","--","--","--","--","79%","53%","63%","47%","89%","46%","38%","67%","58%","61%","71%","65%","59%","65%","65%","--","--","--","--","--"
"1466","Babinda State School","Babinda ","13","12","10","25","386","404","406","416","366","484","432","503","475","464","541","518","576","527","581","574","548","588","581","591","77%","92%","85%","92%","85%","91%","73%","91%","91%","91%","100%","100%","100%","89%","100%","86%","77%","91%","82%","100%"
"317","Back Plains State School","Back Plains ","2","4","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1940","Badu Island State School","Via Thursday Island ","21","23","23","--","284","312","323","296","296","383","347","448","360","369","479","438","532","461","534","--","--","--","--","--","50%","84%","79%","74%","70%","59%","27%","82%","36%","50%","87%","65%","100%","78%","96%","--","--","--","--","--"
"906","Bajool State School","Bajool ","4","5","1","--","^","^","^","^","^","573","402","529","616","513","^","^","^","^","^","--","--","--","--","--","^","^","^","^","^","100%","80%","100%","100%","100%","^","^","^","^","^","--","--","--","--","--"
"1689","Balaclava State School","Cairns ","39","40","20","--","329","324","358","313","312","404","400","439","411","385","480","427","493","452","475","--","--","--","--","--","69%","85%","82%","74%","82%","63%","65%","70%","65%","55%","85%","55%","75%","55%","75%","--","--","--","--","--"
"4","Bald Hills State School","Bald Hills ","103","81","37","--","420","407","415","436","394","533","467","497","522","502","541","501","531","535","550","--","--","--","--","--","93%","97%","95%","93%","96%","99%","87%","96%","96%","97%","100%","92%","100%","97%","100%","--","--","--","--","--"
"1164","Ballandean State School","Ballandean ","8","6","14","--","^","^","^","^","^","518","492","437","465","^","541","523","561","518","571","--","--","--","--","--","^","^","^","^","^","80%","100%","83%","83%","^","100%","100%","93%","93%","100%","--","--","--","--","--"
"2043","Balmoral State High School","Morningside ","--","--","--","91","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","573","548","581","556","561","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94%","83%","97%","85%","97%"
"1367","Bambaroo State School","Bambaroo ","--","1","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"521","Banana State School","Banana ","4","9","4","--","^","^","^","^","^","510","465","512","529","487","^","^","^","^","^","--","--","--","--","--","^","^","^","^","^","89%","88%","100%","88%","100%","^","^","^","^","^","--","--","--","--","--"
"1989","Banksia Beach State School","Banksia Beach ","182","152","87","--","418","405","405","454","413","497","460","490","505","492","547","534","562","555","572","--","--","--","--","--","99%","98%","98%","98%","99%","99%","92%","96%","98%","99%","100%","99%","97%","96%","100%","--","--","--","--","--"
"1605","Baralaba State School","Baralaba ","9","6","9","6","381","363","367","369","360","409","337","401","428","433","471","454","508","482","493","492","436","474","475","484","78%","100%","100%","89%","100%","67%","67%","50%","67%","100%","78%","56%","78%","67%","89%","50%","17%","17%","33%","50%"
"531","Barcaldine Prep-12 State School","Barcaldine ","21","19","9","28","381","376","384","409","369","506","436","499","503","480","539","501","519","543","524","562","568","564","549","551","88%","100%","100%","94%","94%","92%","83%","92%","92%","92%","100%","100%","100%","86%","100%","88%","82%","100%","88%","94%"
"1041","Bardon State School","Bardon ","46","45","17","--","474","421","450","498","442","562","497","533","566","537","627","586","606","634","619","--","--","--","--","--","98%","98%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","--","--","--","--","--"
"702","Bargara State School","Bargara ","43","36","36","--","408","372","405","407","379","497","458","486","508","454","564","505","537","557","556","--","--","--","--","--","92%","95%","95%","95%","92%","91%","86%","94%","92%","89%","100%","91%","94%","97%","97%","--","--","--","--","--"
"777","Barkly Highway State School","Mount Isa ","71","65","44","--","393","378","385","416","361","476","435","458","484","453","531","485","519","520","524","--","--","--","--","--","81%","87%","87%","87%","84%","86%","84%","88%","88%","84%","93%","77%","86%","84%","98%","--","--","--","--","--"
"1730","Bartle Frere State School","Bartle Frere ","3","4","2","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--"
"387","Bauhinia State School","Moura ","2","2","1","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--"
"966","Bauple State School","Bauple ","7","12","5","--","332","283","315","316","333","416","403","427","430","420","491","425","452","495","503","--","--","--","--","--","57%","71%","86%","71%","57%","83%","67%","92%","92%","75%","80%","40%","80%","80%","100%","--","--","--","--","--"
"1798","Bay View State School","Thornlands  ","103","77","10","--","385","359","370","404","376","486","449","471","491","469","496","497","510","506","493","--","--","--","--","--","94%","90%","94%","98%","96%","94%","81%","92%","93%","97%","100%","89%","78%","100%","100%","--","--","--","--","--"
"1961","Beachmere State School","Beachmere ","35","41","26","--","368","345","357","373","350","419","358","430","425","410","499","451","486","490","482","--","--","--","--","--","85%","87%","90%","84%","88%","74%","48%","75%","73%","70%","92%","76%","76%","84%","88%","--","--","--","--","--"
"1672","Beaconsfield State School","Beaconsfield ","43","40","21","--","409","417","410","442","410","491","456","482","502","468","531","503","519","533","543","--","--","--","--","--","97%","97%","100%","100%","100%","91%","94%","91%","94%","94%","95%","84%","95%","100%","95%","--","--","--","--","--"
"2083","Beaudesert State High School","Beaudesert ","--","--","--","268","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","553","521","560","546","555","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","89%","73%","84%","80%","92%"
"158","Beaudesert State School","Beaudesert ","87","85","62","--","381","352","358","386","351","473","428","466","459","450","539","479","522","556","531","--","--","--","--","--","89%","91%","84%","89%","84%","85%","70%","83%","76%","88%","88%","77%","83%","85%","90%","--","--","--","--","--"
"1019","Bedourie State School","Bedourie ","1","1","1","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--"
"681","Beechmont State School","Beechmont ","16","13","9","--","421","435","446","451","409","563","487","532","583","530","568","566","565","574","581","--","--","--","--","--","100%","100%","100%","100%","100%","100%","90%","100%","100%","100%","100%","100%","86%","86%","100%","--","--","--","--","--"
"3051","Beenleigh Special School","Mount Warren Park ","5","11","6","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2084","Beenleigh State High School","Beenleigh ","--","--","--","170","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","532","498","552","533","535","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","71%","48%","73%","70%","77%"
"6","Beenleigh State School","Beenleigh ","66","53","41","--","383","371","383","390","380","444","416","442","446","431","485","456","485","483","481","--","--","--","--","--","84%","93%","81%","90%","95%","80%","67%","80%","74%","80%","78%","68%","74%","82%","89%","--","--","--","--","--"
"1598","Beerburrum State School","Beerburrum ","25","23","10","--","365","333","352","357","350","490","432","479","505","475","545","524","565","541","524","--","--","--","--","--","83%","78%","87%","83%","86%","91%","86%","91%","91%","86%","90%","100%","100%","89%","100%","--","--","--","--","--"
"2109","Beerwah State High School","Beerwah ","--","--","--","189","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","556","515","558","552","568","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90%","65%","88%","84%","97%"
"569","Beerwah State School","Beerwah ","54","52","41","--","365","371","371","383","368","479","416","475","466","471","514","480","525","519","534","--","--","--","--","--","92%","94%","92%","96%","96%","84%","57%","80%","73%","78%","97%","86%","86%","89%","97%","--","--","--","--","--"
"187","Begonia State School","St George ","--","2","1","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--"
