CENTRE_CODE,SCHOOL,LOCALITY,YR3ENR,YR5ENR,YR7ENR,YR9ENR,YR3READMEAN,YR3WRITMEAN,YR3SPELMEAN,YR3GPMEAN,YR3NMCYMEAN,YR5READMEAN,YR5WRITMEAN,YR5SPELMEAN,YR5GPMEAN,YR5NMCYMEAN,YR7READMEAN,YR7WRITMEAN,YR7SPELMEAN,YR7GPMEAN,YR7NMCYMEAN,YR9READMEAN,YR9WRITMEAN,YR9SPELMEAN,YR9GPMEAN,YR9NMCYMEAN,YR3READPCTNMS,YR3WRITPCTNMS,YR3SPELPCTNMS,YR3GPPCTNMS,YR3NMCYPCTNMS,YR5READPCTNMS,YR5WRITPCTNMS,YR5SPELPCTNMS,YR5GPPCTNMS,YR5NMCYPCTNMS,YR7READPCTNMS,YR7WRITPCTNMS,YR7SPELPCTNMS,YR7GPPCTNMS,YR7NMCYPCTNMS,YR9READPCTNMS,YR9WRITPCTNMS,YR9SPELPCTNMS,YR9GPPCTNMS,YR9NMCYPCTNMS
"1572","Andergrove State School","Andergrove, Mackay","52","54","--","--","388","388","379","408","369","463","458","469","469","475","--","--","--","--","--","--","--","--","--","--","94%","100%","94%","92%","94%","94%","94%","96%","88%","94%","--","--","--","--","--","--","--","--","--","--"
"5446","Anglican Church Grammar School","East Brisbane","47","113","205","215","466","461","438","473","454","541","501","517","538","542","585","548","573","586","604","613","595","606","613","658","100%","100%","100%","100%","98%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","99%","94%","96%","96%","100%"
"5573","Annandale Christian College","Annandale","53","43","47","52","425","400","405","465","401","508","488","496","521","508","587","553","568","588","561","597","561","580","583","611","94%","94%","96%","96%","100%","100%","98%","98%","98%","98%","98%","93%","98%","98%","100%","98%","90%","94%","94%","100%"
"440","Annandale State School","Annandale","116","103","--","--","433","405","405","437","391","524","468","499","514","494","--","--","--","--","--","--","--","--","--","--","97%","94%","96%","96%","97%","96%","86%","94%","96%","97%","--","--","--","--","--","--","--","--","--","--"
"1294","Applethorpe State School","Applethorpe","5","2","--","--","423","442","407","452","378","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"5316","Aquinas College","Southport","--","--","189","230","--","--","--","--","--","--","--","--","--","--","550","517","555","536","538","572","543","581","561","581","--","--","--","--","--","--","--","--","--","--","98%","91%","95%","92%","99%","96%","86%","96%","89%","100%"
"312","Aramac State School","Aramac","8","4","5","2","368","364","342","379","362","^","^","^","^","^","498","496","495","504","497","^","^","^","^","^","71%","88%","75%","75%","71%","^","^","^","^","^","80%","80%","60%","80%","100%","^","^","^","^","^"
"1266","Aratula State School","Aratula","4","3","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"813","Arcadia Valley State School","Arcadia Valley Via Injune","1","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"6125","Arethusa College","Deception Bay","--","--","9","28","--","--","--","--","--","--","--","--","--","--","216","101","357","204","273","427","266","448","390","461","--","--","--","--","--","--","--","--","--","--","13%","0%","13%","0%","0%","26%","0%","13%","27%","38%"
"1997","Arundel State School","Arundel","144","122","--","--","431","413","419","451","396","491","466","493","505","496","--","--","--","--","--","--","--","--","--","--","95%","97%","96%","97%","96%","95%","83%","89%","92%","94%","--","--","--","--","--","--","--","--","--","--"
"296","Ascot State School","Ascot","130","89","--","--","460","437","425","471","426","534","501","513","535","516","--","--","--","--","--","--","--","--","--","--","98%","99%","99%","98%","99%","99%","98%","98%","98%","99%","--","--","--","--","--","--","--","--","--","--"
"186","Ashgrove State School","Ashgrove","103","107","--","--","494","453","457","512","453","537","520","517","552","528","--","--","--","--","--","--","--","--","--","--","99%","99%","99%","99%","100%","100%","100%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"1871","Ashmore State School","Ashmore","108","107","--","--","428","427","395","432","409","506","478","499","515","486","--","--","--","--","--","--","--","--","--","--","99%","99%","98%","99%","97%","96%","98%","98%","93%","97%","--","--","--","--","--","--","--","--","--","--"
"512","Ashwell State School","Ashwell Via Rosewood","5","10","--","--","392","381","391","465","371","499","459","477","533","485","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","100%","88%","88%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"1004","Aspley East State School","Aspley","130","101","--","--","423","420","416","456","398","497","482","500","509","498","--","--","--","--","--","--","--","--","--","--","95%","98%","94%","97%","94%","96%","89%","95%","93%","98%","--","--","--","--","--","--","--","--","--","--"
"3031","Aspley Special School","Aspley","--","--","6","20","--","--","--","--","--","--","--","--","--","--","*","*","*","*","*","*","*","*","*","*","--","--","--","--","--","--","--","--","--","--","*","*","*","*","*","*","*","*","*","*"
"2076","Aspley State High School","Aspley","--","--","118","118","--","--","--","--","--","--","--","--","--","--","540","502","540","534","530","574","546","588","565","584","--","--","--","--","--","--","--","--","--","--","100%","89%","94%","93%","100%","95%","76%","95%","90%","100%"
"610","Aspley State School","Aspley","123","93","--","--","454","403","421","464","418","523","479","511","531","519","--","--","--","--","--","--","--","--","--","--","95%","94%","93%","94%","96%","96%","94%","93%","92%","98%","--","--","--","--","--","--","--","--","--","--"
"5313","Assisi Catholic College","Upper Coomera","84","86","150","137","411","416","404","419","384","493","497","506","508","492","553","539","563","550","545","563","576","586","564","572","99%","99%","99%","96%","100%","94%","98%","99%","98%","100%","99%","96%","96%","97%","99%","95%","89%","94%","91%","98%"
"5393","Assumption College","Warwick","--","--","82","69","--","--","--","--","--","--","--","--","--","--","530","494","521","525","527","556","533","562","555","566","--","--","--","--","--","--","--","--","--","--","96%","94%","91%","94%","100%","90%","69%","90%","84%","99%"
"2051","Atherton State High School","Atherton","--","--","125","131","--","--","--","--","--","--","--","--","--","--","538","468","533","520","530","570","491","572","568","579","--","--","--","--","--","--","--","--","--","--","91%","75%","84%","82%","93%","91%","60%","86%","87%","95%"
"789","Atherton State School","Atherton","86","69","--","--","410","411","388","434","396","511","478","500","534","510","--","--","--","--","--","--","--","--","--","--","93%","93%","90%","93%","94%","94%","89%","94%","97%","97%","--","--","--","--","--","--","--","--","--","--"
"357","Augathella State School","Augathella","4","3","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"7120","Augusta State School","Augustine Heights","94","90","--","--","413","384","399","412","381","491","484","502","510","494","--","--","--","--","--","--","--","--","--","--","96%","94%","95%","95%","95%","95%","95%","95%","99%","95%","--","--","--","--","--","--","--","--","--","--"
"274","Aurukun Campus of CYAAA","Aurukun","28","40","--","--","335","275","279","216","240","352","323","393","348","341","--","--","--","--","--","--","--","--","--","--","85%","71%","50%","43%","20%","40%","14%","59%","30%","32%","--","--","--","--","--","--","--","--","--","--"
"1677","Australian Christian College - Moreton","Caboolture","111","104","113","98","400","367","376","393","378","494","429","483","490","469","541","497","516","521","522","551","515","547","544","573","94%","87%","92%","92%","97%","95%","79%","93%","90%","98%","96%","83%","91%","91%","98%","88%","61%","94%","83%","88%"
"5396","Australian International Islamic College","Durack","52","30","26","25","431","411","432","436","435","474","469","516","496","501","511","525","575","547","562","525","539","599","532","555","100%","100%","100%","97%","100%","96%","88%","96%","88%","100%","91%","92%","95%","95%","95%","88%","100%","100%","88%","95%"
"6057","Australian International Islamic College - Carrara","Carrara","6","4","4","2","412","424","457","394","378","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","100%","100%","100%","100%","100%","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^"
"2078","Aviation High School","Clayfield","--","--","59","68","--","--","--","--","--","--","--","--","--","--","546","510","552","551","547","584","550","590","563","589","--","--","--","--","--","--","--","--","--","--","96%","87%","94%","93%","98%","94%","84%","93%","88%","97%"
"1901","Avoca State School","Bundaberg","68","61","--","--","402","418","380","436","386","479","445","451","485","468","--","--","--","--","--","--","--","--","--","--","97%","100%","97%","100%","100%","88%","80%","81%","78%","92%","--","--","--","--","--","--","--","--","--","--"
"572","Avondale State School","Avondale","4","3","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"908","Ayr East State School","Ayr","83","74","--","--","396","393","365","420","372","488","485","494","514","482","--","--","--","--","--","--","--","--","--","--","94%","94%","95%","99%","96%","96%","96%","94%","93%","96%","--","--","--","--","--","--","--","--","--","--"
"2008","Ayr State High School","Ayr","--","--","108","96","--","--","--","--","--","--","--","--","--","--","520","477","520","506","514","550","512","561","534","566","--","--","--","--","--","--","--","--","--","--","94%","75%","89%","79%","95%","85%","67%","83%","75%","97%"
"451","Ayr State School","Ayr","17","17","--","--","323","381","356","386","322","432","416","432","433","412","--","--","--","--","--","--","--","--","--","--","85%","92%","83%","83%","75%","86%","79%","79%","86%","86%","--","--","--","--","--","--","--","--","--","--"
"1466","Babinda State School","Babinda","19","20","23","16","446","389","434","440","391","514","460","514","496","490","543","526","556","533","525","582","553","606","578","596","100%","94%","100%","100%","94%","95%","95%","100%","100%","100%","100%","93%","100%","100%","88%","100%","86%","100%","100%","100%"
"317","Back Plains State School","Back Plains","4","1","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1940","Badu Island State School","Via Thursday Island","20","34","--","--","321","370","358","329","315","395","394","451","400","406","--","--","--","--","--","--","--","--","--","--","84%","84%","89%","74%","84%","65%","68%","91%","65%","76%","--","--","--","--","--","--","--","--","--","--"
"906","Bajool State School","Bajool","7","4","--","--","500","369","514","554","520","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","100%","83%","100%","100%","100%","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1689","Balaclava State School","Cairns","44","34","--","--","334","355","326","345","331","411","440","457","432","424","--","--","--","--","--","--","--","--","--","--","80%","88%","76%","83%","92%","79%","82%","88%","76%","88%","--","--","--","--","--","--","--","--","--","--"
"4","Bald Hills State School","Bald Hills","88","73","--","--","445","433","404","441","404","505","468","502","507","479","--","--","--","--","--","--","--","--","--","--","98%","98%","96%","95%","98%","100%","95%","98%","95%","100%","--","--","--","--","--","--","--","--","--","--"
"1164","Ballandean State School","Ballandean","5","10","--","--","481","433","380","463","477","488","498","503","521","514","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","90%","100%","90%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"2043","Balmoral State High School","Morningside","--","--","76","60","--","--","--","--","--","--","--","--","--","--","538","486","541","527","525","567","526","596","548","562","--","--","--","--","--","--","--","--","--","--","99%","77%","97%","89%","97%","89%","69%","95%","87%","98%"
"1367","Bambaroo State School","Bambaroo","2","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"521","Banana State School","Banana","10","5","--","--","425","397","364","420","352","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","100%","88%","100%","100%","100%","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1989","Banksia Beach State School","Banksia Beach","174","145","--","--","442","401","405","441","393","508","471","488","498","479","--","--","--","--","--","--","--","--","--","--","94%","95%","93%","97%","99%","98%","93%","94%","93%","97%","--","--","--","--","--","--","--","--","--","--"
"1605","Baralaba State School","Baralaba","14","7","14","7","338","377","368","384","360","442","468","462","497","493","478","419","528","450","480","560","521","560","540","580","71%","93%","86%","79%","93%","100%","100%","100%","100%","100%","71%","29%","79%","71%","86%","71%","43%","86%","57%","71%"
"531","Barcaldine Prep-12 State School","Barcaldine","18","21","22","22","389","344","427","436","373","472","456","480","504","473","536","493","500","515","508","571","561","603","589","583","92%","83%","100%","100%","91%","88%","94%","100%","100%","100%","91%","91%","82%","91%","100%","94%","94%","100%","94%","100%"
"1041","Bardon State School","Bardon","44","33","--","--","490","453","460","524","481","538","506","546","579","551","--","--","--","--","--","--","--","--","--","--","98%","98%","98%","98%","100%","100%","97%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"702","Bargara State School","Bargara","50","44","--","--","415","394","376","420","369","483","446","470","512","484","--","--","--","--","--","--","--","--","--","--","89%","96%","91%","91%","87%","93%","74%","86%","91%","93%","--","--","--","--","--","--","--","--","--","--"
"777","Barkly Highway State School","Mount Isa","61","53","--","--","367","360","335","372","349","488","443","487","487","472","--","--","--","--","--","--","--","--","--","--","87%","93%","79%","86%","88%","98%","87%","94%","94%","98%","--","--","--","--","--","--","--","--","--","--"
"1730","Bartle Frere State School","Bartle Frere","2","1","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"387","Bauhinia State School","Moura","3","1","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"966","Bauple State School","Bauple","11","11","--","--","413","379","395","448","390","477","428","432","454","472","--","--","--","--","--","--","--","--","--","--","91%","91%","91%","91%","91%","91%","73%","73%","73%","100%","--","--","--","--","--","--","--","--","--","--"
"1798","Bay View State School","Thornlands","107","111","--","--","409","397","366","410","377","497","489","483","499","476","--","--","--","--","--","--","--","--","--","--","93%","95%","94%","94%","92%","97%","96%","96%","96%","97%","--","--","--","--","--","--","--","--","--","--"
"1961","Beachmere State School","Beachmere","47","44","--","--","375","358","345","369","341","432","409","439","433","440","--","--","--","--","--","--","--","--","--","--","87%","96%","84%","86%","87%","77%","74%","76%","82%","88%","--","--","--","--","--","--","--","--","--","--"
"1672","Beaconsfield State School","Beaconsfield","41","33","--","--","422","427","393","428","439","469","458","457","477","460","--","--","--","--","--","--","--","--","--","--","94%","100%","97%","97%","100%","93%","96%","96%","93%","100%","--","--","--","--","--","--","--","--","--","--"
"2083","Beaudesert State High School","Beaudesert","--","--","282","283","--","--","--","--","--","--","--","--","--","--","523","480","529","516","519","545","501","554","544","562","--","--","--","--","--","--","--","--","--","--","97%","80%","89%","87%","98%","84%","64%","82%","81%","95%"
"158","Beaudesert State School","Beaudesert","102","102","--","--","395","381","368","403","365","471","460","475","489","473","--","--","--","--","--","--","--","--","--","--","89%","93%","88%","91%","88%","84%","85%","86%","87%","93%","--","--","--","--","--","--","--","--","--","--"
"1019","Bedourie State School","Bedourie","1","4","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"681","Beechmont State School","Beechmont","15","12","--","--","477","408","411","473","418","502","476","481","516","481","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"3051","Beenleigh Special School","Mount Warren Park","9","6","1","10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2084","Beenleigh State High School","Beenleigh","--","--","178","162","--","--","--","--","--","--","--","--","--","--","499","443","502","478","499","532","452","544","519","542","--","--","--","--","--","--","--","--","--","--","76%","57%","72%","67%","81%","82%","41%","75%","70%","90%"
"6","Beenleigh State School","Beenleigh","54","62","--","--","362","370","360","383","350","460","415","468","467","458","--","--","--","--","--","--","--","--","--","--","88%","93%","84%","88%","86%","87%","81%","90%","88%","94%","--","--","--","--","--","--","--","--","--","--"
"1598","Beerburrum State School","Beerburrum","13","13","--","--","356","354","324","356","328","484","417","462","476","462","--","--","--","--","--","--","--","--","--","--","90%","100%","82%","91%","82%","91%","73%","91%","82%","100%","--","--","--","--","--","--","--","--","--","--"
"2109","Beerwah State High School","Beerwah","--","--","183","183","--","--","--","--","--","--","--","--","--","--","521","464","526","515","531","544","484","565","558","563","--","--","--","--","--","--","--","--","--","--","96%","74%","90%","86%","99%","85%","58%","85%","86%","97%"
"569","Beerwah State School","Beerwah","61","60","--","--","381","371","361","385","367","491","468","478","477","486","--","--","--","--","--","--","--","--","--","--","87%","92%","89%","87%","88%","91%","81%","84%","83%","95%","--","--","--","--","--","--","--","--","--","--"
"187","Begonia State School","St George","2","3","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"509","Belgian Gardens State School","Belgian Gardens","72","68","--","--","449","417","424","462","412","535","475","511","525","500","--","--","--","--","--","--","--","--","--","--","100%","96%","96%","97%","96%","97%","93%","96%","93%","93%","--","--","--","--","--","--","--","--","--","--"
"781","Bell State School","Bell","9","11","7","3","^","^","^","^","^","472","428","530","488","463","546","489","533","535","566","^","^","^","^","^","^","^","^","^","^","70%","70%","80%","80%","90%","86%","100%","100%","86%","100%","^","^","^","^","^"
"1768","Bellenden Ker State School","Bellenden Ker","2","5","--","--","^","^","^","^","^","456","488","482","509","451","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","100%","100%","100%","100%","80%","--","--","--","--","--","--","--","--","--","--"
