snapshot_date,snapshot_month,loan_id,state,lvr_band,borrower_type,property_type,employment_type,lender,arrears_bucket,days_in_arrears,arrears_amount,loan_amount
2022-05-01,May 2022,LMI10656,NSW,90-95%,First Home Buyer,Apartment,Contract,Bank of Queensland,30,39,3749.55,1023300
2022-05-01,May 2022,LMI10695,QLD,95%+,Owner Occupier,House,Contract,NAB,30,41,2121.23,515000
2022-05-01,May 2022,LMI10721,VIC,95%+,First Home Buyer,House,PAYG,Macquarie,30,33,3892.51,890500
2022-05-01,May 2022,LMI10800,VIC,90-95%,First Home Buyer,Apartment,Self-Employed,Macquarie,60,46,6498.62,1000700
2022-05-01,May 2022,LMI10830,QLD,90-95%,Investor,Apartment,PAYG,Commonwealth Bank,30,44,4549.15,542700
2022-05-01,May 2022,LMI10958,NSW,90-95%,First Home Buyer,House,Contract,ANZ,30,35,2131.68,872100
2022-05-01,May 2022,LMI11038,VIC,90-95%,Owner Occupier,House,PAYG,Bank of Queensland,30,33,5160.8,745000
2022-05-01,May 2022,LMI11055,NSW,95%+,Owner Occupier,Apartment,PAYG,Commonwealth Bank,30,21,13016.95,1724500
2022-05-01,May 2022,LMI11057,QLD,95%+,Owner Occupier,Apartment,Self-Employed,Commonwealth Bank,90,77,3220.35,666100
2022-05-01,May 2022,LMI11063,SA,90-95%,First Home Buyer,House,PAYG,ANZ,30,23,2623.79,362900
2022-05-01,May 2022,LMI11077,QLD,90-95%,Investor,House,PAYG,Westpac,30,39,2618.27,446600
2022-05-01,May 2022,LMI11164,VIC,85-90%,Investor,House,Self-Employed,ANZ,30,34,3217.75,712900
2022-05-01,May 2022,LMI11248,VIC,90-95%,Investor,House,PAYG,Macquarie,60,71,9052.28,1036500
2022-05-01,May 2022,LMI11277,NSW,85-90%,Investor,House,PAYG,ING,60,52,3302.73,794100
2022-05-01,May 2022,LMI11368,QLD,≤80%,Owner Occupier,Townhouse,PAYG,ANZ,30,26,3871.12,463200
2022-05-01,May 2022,LMI11383,QLD,85-90%,Owner Occupier,House,PAYG,Commonwealth Bank,30,34,6473.77,742000
2022-05-01,May 2022,LMI11402,NSW,80-85%,First Home Buyer,Townhouse,Self-Employed,ANZ,60,48,8130.79,993700
2022-05-01,May 2022,LMI11504,NSW,90-95%,Owner Occupier,House,Self-Employed,Westpac,60,47,10645.05,1395500
2022-05-01,May 2022,LMI11615,QLD,85-90%,First Home Buyer,House,PAYG,Westpac,30,16,6141.54,690500
2022-05-01,May 2022,LMI11636,SA,95%+,Owner Occupier,House,Self-Employed,Commonwealth Bank,60,54,2101.01,412800
2022-05-01,May 2022,LMI11647,VIC,90-95%,Owner Occupier,Townhouse,Self-Employed,Commonwealth Bank,30,19,4469.18,772900
2022-05-01,May 2022,LMI11715,NSW,85-90%,Investor,House,PAYG,Westpac,90,89,1878.64,658600
2022-05-01,May 2022,LMI11904,QLD,80-85%,Refinancer,Townhouse,PAYG,ANZ,60,46,2708.74,763400
2022-05-01,May 2022,LMI11912,NSW,80-85%,First Home Buyer,House,Self-Employed,ING,30,36,7031.74,801900
2022-05-01,May 2022,LMI11979,NSW,85-90%,Owner Occupier,House,PAYG,Bank of Queensland,30,24,5879.06,833500
2022-06-01,Jun 2022,LMI10001,NSW,90-95%,Investor,House,PAYG,Westpac,30,27,6046.21,1258000
2022-06-01,Jun 2022,LMI10066,NSW,85-90%,First Home Buyer,Land,Contract,Commonwealth Bank,30,27,10578.47,1460000
2022-06-01,Jun 2022,LMI10177,VIC,85-90%,Owner Occupier,Townhouse,PAYG,Westpac,30,32,6607.21,1006200
2022-06-01,Jun 2022,LMI10196,QLD,90-95%,Owner Occupier,Apartment,PAYG,Bank of Queensland,60,71,2716.12,500200
2022-06-01,Jun 2022,LMI10209,NSW,90-95%,First Home Buyer,House,PAYG,ING,30,18,2108.1,834900
2022-06-01,Jun 2022,LMI10294,NSW,85-90%,First Home Buyer,Apartment,PAYG,Commonwealth Bank,30,41,8989.53,1404200
2022-06-01,Jun 2022,LMI10332,NSW,90-95%,First Home Buyer,House,Self-Employed,Commonwealth Bank,30,36,4378.53,919700
2022-06-01,Jun 2022,LMI10382,NSW,80-85%,Owner Occupier,Townhouse,PAYG,Commonwealth Bank,60,49,8578.4,1267300
2022-06-01,Jun 2022,LMI10587,VIC,90-95%,Investor,House,PAYG,Macquarie,30,26,2861.47,775600
2022-06-01,Jun 2022,LMI10592,WA,90-95%,First Home Buyer,House,Contract,NAB,60,69,2954.98,755700
2022-06-01,Jun 2022,LMI10630,VIC,90-95%,First Home Buyer,Apartment,PAYG,Macquarie,60,53,5623.34,982300
2022-06-01,Jun 2022,LMI10650,NSW,90-95%,Investor,Townhouse,PAYG,Commonwealth Bank,30,44,3261.7,828500
2022-06-01,Jun 2022,LMI10766,TAS,90-95%,Owner Occupier,Apartment,PAYG,Macquarie,30,35,2948.29,543500
2022-06-01,Jun 2022,LMI10815,NSW,90-95%,Investor,House,PAYG,Westpac,30,40,10325.43,1232300
2022-06-01,Jun 2022,LMI10914,NSW,90-95%,First Home Buyer,House,PAYG,Commonwealth Bank,60,64,4065.13,1650500
2022-06-01,Jun 2022,LMI10940,NSW,95%+,First Home Buyer,Apartment,Contract,Westpac,30,28,3998.28,1032800
2022-06-01,Jun 2022,LMI10976,NSW,80-85%,Owner Occupier,Apartment,Contract,ANZ,60,55,9971.7,1224500
2022-06-01,Jun 2022,LMI11043,QLD,90-95%,Owner Occupier,House,PAYG,NAB,30,20,4768.94,541800
2022-06-01,Jun 2022,LMI11044,NSW,90-95%,Owner Occupier,House,Contract,Westpac,30,35,6570.62,800100
2022-06-01,Jun 2022,LMI11063,SA,90-95%,First Home Buyer,House,PAYG,ANZ,30,19,2267.89,362900
2022-06-01,Jun 2022,LMI11084,NSW,90-95%,Investor,House,PAYG,NAB,90,79,2468.57,1119300
2022-06-01,Jun 2022,LMI11136,WA,80-85%,Owner Occupier,Apartment,Self-Employed,ANZ,60,55,1483.41,512200
2022-06-01,Jun 2022,LMI11149,NSW,90-95%,Owner Occupier,House,Self-Employed,Commonwealth Bank,30,37,11322.4,1418800
2022-06-01,Jun 2022,LMI11440,NSW,80-85%,First Home Buyer,House,PAYG,Suncorp,30,16,8019.0,1149700
2022-06-01,Jun 2022,LMI11488,NSW,90-95%,Investor,House,Self-Employed,Westpac,30,20,7145.67,961000
2022-06-01,Jun 2022,LMI11500,WA,80-85%,Owner Occupier,House,PAYG,Macquarie,30,24,1894.25,660600
2022-06-01,Jun 2022,LMI11636,SA,95%+,Owner Occupier,House,Self-Employed,Commonwealth Bank,30,28,3019.19,412800
2022-06-01,Jun 2022,LMI11700,VIC,85-90%,Investor,Apartment,PAYG,Commonwealth Bank,30,17,1722.77,771200
2022-06-01,Jun 2022,LMI11721,VIC,90-95%,First Home Buyer,Apartment,PAYG,Commonwealth Bank,30,37,2409.54,723800
2022-06-01,Jun 2022,LMI11740,NSW,80-85%,Owner Occupier,Townhouse,Contract,Commonwealth Bank,90,86,7917.01,962400
2022-06-01,Jun 2022,LMI11897,SA,80-85%,Investor,House,Contract,Bendigo Bank,30,32,2938.21,342800
2022-07-01,Jul 2022,LMI10032,WA,90-95%,Owner Occupier,House,PAYG,Bank of Queensland,90,90,3180.27,711800
2022-07-01,Jul 2022,LMI10076,QLD,90-95%,First Home Buyer,House,Self-Employed,Commonwealth Bank,30,28,2142.67,778700
2022-07-01,Jul 2022,LMI10123,VIC,85-90%,Investor,Townhouse,Contract,Westpac,30,25,3224.92,663300
2022-07-01,Jul 2022,LMI10241,QLD,90-95%,Owner Occupier,House,PAYG,ANZ,30,42,2106.79,719300
2022-07-01,Jul 2022,LMI10247,WA,85-90%,Owner Occupier,Townhouse,PAYG,Westpac,30,20,2287.24,512900
2022-07-01,Jul 2022,LMI10271,VIC,90-95%,First Home Buyer,House,PAYG,Commonwealth Bank,30,45,4448.97,551200
2022-07-01,Jul 2022,LMI10389,SA,85-90%,Owner Occupier,House,PAYG,Westpac,30,43,3586.14,411200
2022-07-01,Jul 2022,LMI10440,SA,95%+,Owner Occupier,House,Self-Employed,Commonwealth Bank,60,73,2111.42,459600
2022-07-01,Jul 2022,LMI10478,VIC,90-95%,First Home Buyer,Apartment,Contract,Westpac,30,23,2705.04,835800
2022-07-01,Jul 2022,LMI10514,QLD,95%+,First Home Buyer,House,PAYG,Bendigo Bank,30,38,1870.66,834500
2022-07-01,Jul 2022,LMI10581,NSW,80-85%,Owner Occupier,House,PAYG,Westpac,90,89,7621.59,1318200
2022-07-01,Jul 2022,LMI10678,NSW,90-95%,Owner Occupier,Apartment,PAYG,Westpac,30,37,4099.88,1650300
2022-07-01,Jul 2022,LMI10703,VIC,85-90%,First Home Buyer,Townhouse,PAYG,Westpac,30,34,5387.96,770400
2022-07-01,Jul 2022,LMI10727,VIC,80-85%,First Home Buyer,Apartment,PAYG,Commonwealth Bank,30,30,4781.26,600100
2022-07-01,Jul 2022,LMI10732,NSW,95%+,Owner Occupier,House,PAYG,Commonwealth Bank,90,80,3958.62,834500
2022-07-01,Jul 2022,LMI10762,VIC,90-95%,Investor,House,PAYG,Westpac,30,19,8188.22,925500
2022-07-01,Jul 2022,LMI10798,QLD,95%+,Owner Occupier,Apartment,PAYG,Westpac,30,21,3724.88,415600
2022-07-01,Jul 2022,LMI10805,SA,95%+,Owner Occupier,House,PAYG,ANZ,30,44,2663.44,336800
2022-07-01,Jul 2022,LMI10844,QLD,90-95%,Owner Occupier,Apartment,PAYG,NAB,30,30,3221.62,625900
2022-07-01,Jul 2022,LMI11035,VIC,90-95%,Investor,House,PAYG,Macquarie,30,35,5193.35,1092600
2022-07-01,Jul 2022,LMI11248,VIC,90-95%,Investor,House,PAYG,Macquarie,30,19,8299.0,1036500
2022-07-01,Jul 2022,LMI11325,VIC,95%+,Refinancer,House,PAYG,Macquarie,30,21,3323.88,811300
2022-07-01,Jul 2022,LMI11377,QLD,90-95%,Investor,Apartment,PAYG,Bendigo Bank,90,89,3456.11,430900
2022-07-01,Jul 2022,LMI11454,QLD,90-95%,First Home Buyer,Townhouse,PAYG,Commonwealth Bank,90+,112,2319.39,734400
2022-07-01,Jul 2022,LMI11575,NSW,90-95%,First Home Buyer,Townhouse,Self-Employed,Westpac,60,48,2469.14,702500
2022-07-01,Jul 2022,LMI11609,VIC,80-85%,Owner Occupier,House,PAYG,Macquarie,60,49,7371.27,944800
2022-07-01,Jul 2022,LMI11730,QLD,90-95%,Investor,House,PAYG,NAB,60,50,1554.04,512400
2022-07-01,Jul 2022,LMI11840,NSW,80-85%,First Home Buyer,House,PAYG,NAB,30,36,6292.95,817200
2022-07-01,Jul 2022,LMI11923,VIC,85-90%,Investor,House,PAYG,Westpac,30,43,8857.27,996700
2022-07-01,Jul 2022,LMI11979,NSW,85-90%,Owner Occupier,House,PAYG,Bank of Queensland,60,61,7404.68,833500
2022-07-01,Jul 2022,LMI11985,NSW,90-95%,Owner Occupier,Townhouse,PAYG,ING,90,83,6292.82,1360700
2022-08-01,Aug 2022,LMI10023,WA,80-85%,Refinancer,Apartment,Self-Employed,Commonwealth Bank,30,25,5093.08,607500
2022-08-01,Aug 2022,LMI10145,VIC,90-95%,Owner Occupier,Apartment,Contract,NAB,30,37,4057.4,1196500
2022-08-01,Aug 2022,LMI10277,VIC,85-90%,Refinancer,House,Self-Employed,Commonwealth Bank,30,22,4990.79,648300
2022-08-01,Aug 2022,LMI10285,VIC,90-95%,Investor,Apartment,Contract,Macquarie,30,37,3368.87,684400
2022-08-01,Aug 2022,LMI10295,VIC,90-95%,First Home Buyer,Apartment,PAYG,Commonwealth Bank,30,17,5811.16,1055500
2022-08-01,Aug 2022,LMI10307,NSW,85-90%,First Home Buyer,Townhouse,Contract,Westpac,30,17,5803.67,1130400
2022-08-01,Aug 2022,LMI10341,NSW,90-95%,Owner Occupier,House,PAYG,Macquarie,30,21,8683.79,1334000
2022-08-01,Aug 2022,LMI10446,NSW,95%+,Owner Occupier,Apartment,Contract,NAB,30,40,4855.39,1390600
2022-08-01,Aug 2022,LMI10532,WA,90-95%,First Home Buyer,House,PAYG,Bendigo Bank,30,45,6375.2,722700
2022-08-01,Aug 2022,LMI10542,WA,90-95%,Investor,House,PAYG,NAB,30,35,5090.7,791000
2022-08-01,Aug 2022,LMI10606,NSW,95%+,Owner Occupier,Apartment,Self-Employed,NAB,30,29,8046.91,920200
2022-08-01,Aug 2022,LMI10694,SA,85-90%,Owner Occupier,House,PAYG,NAB,30,39,2833.24,447600
2022-08-01,Aug 2022,LMI10711,SA,80-85%,Investor,Apartment,Self-Employed,ANZ,30,45,1454.78,367700
2022-08-01,Aug 2022,LMI10754,WA,95%+,Investor,House,PAYG,ANZ,60,49,3628.03,657900
2022-08-01,Aug 2022,LMI10819,NSW,85-90%,Owner Occupier,House,PAYG,Commonwealth Bank,30,42,7089.11,1245500
2022-08-01,Aug 2022,LMI10879,VIC,90-95%,Investor,Land,PAYG,Commonwealth Bank,30,41,4613.94,610500
2022-08-01,Aug 2022,LMI10914,NSW,90-95%,First Home Buyer,House,PAYG,Commonwealth Bank,30,19,3621.82,1650500
2022-08-01,Aug 2022,LMI10921,VIC,85-90%,First Home Buyer,House,PAYG,Bendigo Bank,30,18,3189.25,853900
2022-08-01,Aug 2022,LMI10930,VIC,95%+,Owner Occupier,House,Self-Employed,Westpac,30,16,5437.99,1202200
2022-08-01,Aug 2022,LMI10940,NSW,95%+,First Home Buyer,Apartment,Contract,Westpac,30,36,4301.66,1032800
2022-08-01,Aug 2022,LMI11033,NSW,95%+,Owner Occupier,Townhouse,PAYG,ANZ,30,40,5235.27,1567200
2022-08-01,Aug 2022,LMI11055,NSW,95%+,Owner Occupier,Apartment,PAYG,Commonwealth Bank,30,30,12093.06,1724500
2022-08-01,Aug 2022,LMI11152,VIC,85-90%,Investor,House,PAYG,ANZ,30,18,2698.96,906300
2022-08-01,Aug 2022,LMI11153,NSW,85-90%,Owner Occupier,Apartment,PAYG,Macquarie,30,42,3095.5,819100
2022-08-01,Aug 2022,LMI11483,QLD,90-95%,First Home Buyer,House,Self-Employed,Commonwealth Bank,30,19,2762.57,593400
2022-08-01,Aug 2022,LMI11534,NSW,85-90%,First Home Buyer,House,Self-Employed,ANZ,30,20,2847.03,1402400
2022-08-01,Aug 2022,LMI11615,QLD,85-90%,First Home Buyer,House,PAYG,Westpac,30,19,3372.28,690500
2022-08-01,Aug 2022,LMI11623,VIC,80-85%,Investor,House,PAYG,Bendigo Bank,90+,98,3890.84,733500
2022-08-01,Aug 2022,LMI11740,NSW,80-85%,Owner Occupier,Townhouse,Contract,Commonwealth Bank,60,56,5798.73,962400
2022-08-01,Aug 2022,LMI11920,NSW,85-90%,Investor,Apartment,Self-Employed,Westpac,30,29,2239.09,1108900
2022-08-01,Aug 2022,LMI11921,NSW,90-95%,First Home Buyer,Apartment,PAYG,Westpac,30,35,7825.58,1277800
2022-08-01,Aug 2022,LMI11992,WA,90-95%,Owner Occupier,House,PAYG,Westpac,30,39,1960.53,446600
2022-09-01,Sep 2022,LMI10012,NSW,95%+,Owner Occupier,House,PAYG,ANZ,60,64,5756.77,996400
2022-09-01,Sep 2022,LMI10016,NSW,85-90%,Refinancer,House,PAYG,ANZ,90+,133,11557.23,1372900
2022-09-01,Sep 2022,LMI10032,WA,90-95%,Owner Occupier,House,PAYG,Bank of Queensland,30,43,5957.97,711800
2022-09-01,Sep 2022,LMI10087,VIC,85-90%,First Home Buyer,House,PAYG,NAB,30,23,5547.68,647300
2022-09-01,Sep 2022,LMI10097,SA,90-95%,First Home Buyer,Apartment,PAYG,NAB,30,16,4732.12,632000
2022-09-01,Sep 2022,LMI10143,WA,95%+,Investor,House,PAYG,NAB,90,81,1655.08,437300
2022-09-01,Sep 2022,LMI10209,NSW,90-95%,First Home Buyer,House,PAYG,ING,30,29,5753.08,834900
2022-09-01,Sep 2022,LMI10277,VIC,85-90%,Refinancer,House,Self-Employed,Commonwealth Bank,60,56,3192.12,648300
2022-09-01,Sep 2022,LMI10406,VIC,90-95%,Investor,Apartment,PAYG,Westpac,30,20,7552.06,993600
2022-09-01,Sep 2022,LMI10425,NSW,80-85%,Investor,House,Contract,Commonwealth Bank,30,17,1997.57,723900
2022-09-01,Sep 2022,LMI10436,NSW,90-95%,First Home Buyer,House,Self-Employed,Macquarie,30,26,4190.67,1114200
2022-09-01,Sep 2022,LMI10656,NSW,90-95%,First Home Buyer,Apartment,Contract,Bank of Queensland,60,63,8888.13,1023300
2022-09-01,Sep 2022,LMI10758,NSW,85-90%,Owner Occupier,Apartment,Self-Employed,Bank of Queensland,30,45,8041.7,1113900
2022-09-01,Sep 2022,LMI10785,QLD,80-85%,Investor,House,PAYG,Westpac,30,30,1430.78,535200
2022-09-01,Sep 2022,LMI10903,VIC,90-95%,Investor,House,Self-Employed,Westpac,30,29,9169.73,1087400
2022-09-01,Sep 2022,LMI11002,NSW,85-90%,Investor,Apartment,Self-Employed,Bank of Queensland,60,47,7432.97,1417500
2022-09-01,Sep 2022,LMI11042,WA,80-85%,First Home Buyer,Apartment,Self-Employed,Commonwealth Bank,30,33,1142.87,496100
2022-09-01,Sep 2022,LMI11150,NSW,85-90%,Owner Occupier,Townhouse,PAYG,Westpac,30,40,7264.33,854600
2022-09-01,Sep 2022,LMI11183,TAS,80-85%,Investor,House,PAYG,Macquarie,30,20,1274.79,387700
2022-09-01,Sep 2022,LMI11225,VIC,95%+,Owner Occupier,Land,PAYG,Commonwealth Bank,30,34,9917.4,1251600
2022-09-01,Sep 2022,LMI11240,VIC,95%+,First Home Buyer,House,PAYG,Commonwealth Bank,60,70,3588.99,1054900
2022-09-01,Sep 2022,LMI11260,VIC,90-95%,First Home Buyer,House,PAYG,ING,30,37,6421.35,719500
2022-09-01,Sep 2022,LMI11280,QLD,95%+,First Home Buyer,Apartment,PAYG,Commonwealth Bank,30,40,2873.79,571600
2022-09-01,Sep 2022,LMI11307,NSW,95%+,First Home Buyer,House,PAYG,Bendigo Bank,30,45,9426.72,1066500
2022-09-01,Sep 2022,LMI11331,TAS,85-90%,Owner Occupier,Townhouse,PAYG,ANZ,60,64,2558.5,397500
2022-09-01,Sep 2022,LMI11592,WA,95%+,Owner Occupier,Townhouse,PAYG,Bank of Queensland,90,78,1402.94,380900
