claim_id,loan_id,claim_date,claim_year,state,lvr_band,lender,borrower_type,employment_type,property_type,claim_amount,recovery_amount,net_loss,loss_ratio,claim_status
CLM50041,LMI11051,2024-12-31,2024,WA,90-95%,Commonwealth Bank,First Home Buyer,Self-Employed,House,64386.09,32472.53,31913.56,2.8494,Open
CLM50042,LMI11059,2020-11-21,2020,VIC,90-95%,NAB,Refinancer,Self-Employed,Apartment,163565.31,97563.07,66002.24,3.8042,Open
CLM50043,LMI11076,2024-12-31,2024,NSW,95%+,Westpac,Investor,PAYG,House,249418.61,105398.47,144020.14,3.7505,Open
CLM50044,LMI11084,2020-06-27,2020,NSW,90-95%,NAB,Investor,PAYG,House,141763.7,91448.35,50315.35,2.1411,Open
CLM50045,LMI11186,2021-01-30,2021,NSW,90-95%,ANZ,Owner Occupier,Self-Employed,House,42074.94,25478.13,16596.81,1.0708,Open
CLM50046,LMI11225,2024-07-12,2024,VIC,95%+,Commonwealth Bank,Owner Occupier,PAYG,Land,250044.3,106347.31,143696.99,3.8268,Paid
CLM50047,LMI11258,2021-09-07,2021,NSW,90-95%,Westpac,First Home Buyer,Self-Employed,Townhouse,128738.39,79634.42,49103.97,2.6615,Open
CLM50048,LMI11267,2024-12-31,2024,SA,90-95%,Westpac,Investor,PAYG,House,60525.44,33720.5,26804.94,3.4365,Paid
CLM50049,LMI11350,2024-02-11,2024,SA,90-95%,Commonwealth Bank,Refinancer,PAYG,House,28139.46,15004.48,13134.98,1.6317,Open
CLM50050,LMI11382,2024-12-31,2024,NSW,85-90%,ANZ,Owner Occupier,PAYG,House,159985.49,106349.69,53635.8,3.1093,Paid
CLM50051,LMI11414,2024-06-13,2024,NSW,85-90%,Commonwealth Bank,First Home Buyer,PAYG,Apartment,213252.64,144700.92,68551.72,3.1374,Paid
CLM50052,LMI11590,2021-01-25,2021,NSW,90-95%,Bendigo Bank,Refinancer,PAYG,House,93387.96,47379.09,46008.87,2.3062,Paid
CLM50053,LMI11604,2024-12-31,2024,NSW,95%+,ANZ,First Home Buyer,PAYG,Land,190293.15,93977.13,96316.02,2.3607,Open
CLM50054,LMI11659,2024-03-25,2024,NSW,90-95%,Bank of Queensland,Investor,PAYG,Apartment,166885.81,108829.44,58056.37,1.6659,Paid
CLM50055,LMI11708,2022-11-17,2022,NSW,90-95%,Westpac,First Home Buyer,Self-Employed,House,55748.23,36065.45,19682.78,0.944,Paid
CLM50056,LMI11714,2024-12-31,2024,VIC,85-90%,Bendigo Bank,Refinancer,PAYG,House,136318.18,102889.44,33428.74,2.5421,Paid
CLM50057,LMI11766,2022-06-25,2022,NSW,90-95%,ANZ,Investor,Contract,Apartment,93255.17,59212.23,34042.94,1.53,Open
CLM50058,LMI11835,2020-06-17,2020,VIC,95%+,Commonwealth Bank,Owner Occupier,Self-Employed,House,139924.53,68217.82,71706.71,2.3588,Open
CLM50059,LMI11842,2023-03-27,2023,VIC,90-95%,Bendigo Bank,Owner Occupier,Self-Employed,House,115149.79,75944.14,39205.65,1.6234,Paid
CLM50060,LMI11881,2022-08-22,2022,QLD,85-90%,Commonwealth Bank,Owner Occupier,Contract,Apartment,107399.38,79181.35,28218.03,2.7133,Open
CLM50061,LMI11917,2024-12-21,2024,WA,95%+,Bank of Queensland,Owner Occupier,PAYG,House,45902.99,23817.64,22085.35,1.2304,Open
