loan_id,certificate_number,origination_date,settlement_date,vintage_year,lender,lender_channel,state,suburb,postcode,property_type,borrower_type,employment_type,lvr,lvr_band,property_value,loan_amount,insured_amount,premium_amount,loan_status
LMI10027,CERT-2020-00027,2020-06-05,2020-06-21,2020,NAB,Mortgage Broker,VIC,Footscray,3168,Apartment,First Home Buyer,PAYG,87.93,85-90%,1090000,958400,958400,13400,Claim Paid
LMI10028,CERT-2023-00028,2023-10-03,2023-10-24,2023,Westpac,Mortgage Broker,QLD,Maroochydore,4069,House,First Home Buyer,PAYG,86.64,85-90%,801000,694000,694000,9700,Active
LMI10029,CERT-2022-00029,2022-06-14,2022-07-17,2022,Commonwealth Bank,Mortgage Broker,SA,Port Augusta,5034,Apartment,First Home Buyer,PAYG,94.52,90-95%,500000,472600,472600,9900,Active
LMI10030,CERT-2024-00030,2024-05-19,2024-06-12,2024,ANZ,Bank Branch,QLD,Maroochydore,4350,Townhouse,First Home Buyer,PAYG,88.99,85-90%,769000,684300,684300,9600,Active
LMI10031,CERT-2021-00031,2021-08-31,2021-09-18,2021,Westpac,Mortgage Broker,WA,Cannington,6210,House,Owner Occupier,Self-Employed,80.33,80-85%,594000,477200,477200,4300,Closed
LMI10032,CERT-2020-00032,2020-03-24,2020-04-18,2020,Bank of Queensland,Bank Branch,WA,Joondalup,6100,House,Owner Occupier,PAYG,93.91,90-95%,758000,711800,711800,14950,Active
LMI10033,CERT-2021-00033,2021-06-25,2021-08-05,2021,ANZ,Mortgage Broker,VIC,Box Hill,3350,Apartment,First Home Buyer,Self-Employed,88.8,85-90%,1178000,1046100,1046100,14650,Closed
LMI10034,CERT-2023-00034,2023-01-01,2023-02-02,2023,Commonwealth Bank,Bank Branch,VIC,Dandenong,3168,Apartment,Owner Occupier,PAYG,82.26,80-85%,749000,616100,616100,5550,Active
LMI10035,CERT-2020-00035,2020-02-28,2020-04-08,2020,Westpac,Bank Branch,VIC,Craigieburn,3000,House,Investor,Self-Employed,87.14,85-90%,860000,749400,749400,10500,Closed
LMI10036,CERT-2022-00036,2022-01-23,2022-02-20,2022,Westpac,Mortgage Broker,SA,Adelaide CBD,5095,Apartment,Owner Occupier,Self-Employed,88.76,85-90%,531000,471300,471300,6600,Active
LMI10037,CERT-2024-00037,2024-02-01,2024-03-11,2024,Westpac,Online / Direct,SA,Morphett Vale,5006,House,First Home Buyer,PAYG,96.65,95%+,569000,549900,549900,16500,Active
LMI10038,CERT-2020-00038,2020-07-23,2020-09-01,2020,ANZ,Online / Direct,VIC,St Kilda,3000,House,Owner Occupier,Self-Employed,89.41,85-90%,762000,681300,681300,9550,In Arrears
LMI10039,CERT-2020-00039,2020-02-13,2020-02-28,2020,ING,Mortgage Broker,QLD,Rockhampton,4005,House,First Home Buyer,PAYG,94.75,90-95%,749000,709700,709700,14900,Active
LMI10040,CERT-2019-00040,2019-12-02,2020-01-04,2019,ING,Bank Branch,TAS,Clarence,7054,House,Investor,PAYG,93.91,90-95%,335000,314600,314600,6600,Default
LMI10041,CERT-2023-00041,2023-07-08,2023-07-29,2023,ANZ,Mortgage Broker,QLD,Logan,4000,House,Owner Occupier,PAYG,88.45,85-90%,842000,744700,744700,10450,Active
LMI10042,CERT-2021-00042,2021-01-11,2021-02-23,2021,ANZ,Online / Direct,VIC,Ballarat,3220,Apartment,Owner Occupier,Self-Employed,87.22,85-90%,1089000,949800,949800,13300,Closed
LMI10043,CERT-2024-00043,2024-03-29,2024-04-17,2024,ANZ,Mortgage Broker,VIC,Craigieburn,3145,House,Investor,PAYG,86.3,85-90%,781000,674000,674000,9450,Active
LMI10044,CERT-2023-00044,2023-12-08,2024-01-08,2023,Commonwealth Bank,Mortgage Broker,NSW,Parramatta,2060,House,First Home Buyer,PAYG,91.77,90-95%,1320000,1211400,1211400,25450,Active
LMI10045,CERT-2020-00045,2020-08-25,2020-09-22,2020,ANZ,Mortgage Broker,QLD,Toowoomba,4101,Land,Owner Occupier,PAYG,85.18,85-90%,634000,540000,540000,7550,Closed
LMI10046,CERT-2023-00046,2023-01-17,2023-02-12,2023,Commonwealth Bank,Mortgage Broker,VIC,Frankston,3350,House,Owner Occupier,Self-Employed,86.23,85-90%,807000,695900,695900,9750,Active
LMI10047,CERT-2020-00047,2020-08-29,2020-09-26,2020,Commonwealth Bank,Bank Branch,VIC,Ballarat,3008,House,Investor,PAYG,97.51,95%+,840000,819100,819100,24550,Closed
LMI10048,CERT-2020-00048,2020-08-05,2020-09-18,2020,Commonwealth Bank,Bank Branch,QLD,Toowoomba,4069,House,Owner Occupier,PAYG,80.16,80-85%,674000,540300,540300,4850,Closed
LMI10049,CERT-2019-00049,2019-06-24,2019-07-23,2019,Macquarie,Mortgage Broker,NSW,Liverpool,2750,Townhouse,First Home Buyer,PAYG,94.75,90-95%,848000,803500,803500,16850,Closed
LMI10050,CERT-2024-00050,2024-05-20,2024-06-09,2024,NAB,Bank Branch,VIC,Ballarat,3011,House,First Home Buyer,PAYG,85.4,85-90%,1262000,1077700,1077700,15100,Active
LMI10051,CERT-2020-00051,2020-04-19,2020-05-21,2020,Bank of Queensland,Mortgage Broker,VIC,Geelong,3220,Apartment,Owner Occupier,Contract,86.53,85-90%,1089000,942300,942300,13200,Active
LMI10052,CERT-2024-00052,2024-02-04,2024-03-06,2024,ANZ,Mortgage Broker,VIC,Ballarat,3008,Townhouse,Owner Occupier,PAYG,88.27,85-90%,1175000,1037200,1037200,14500,In Arrears
LMI10053,CERT-2022-00053,2022-01-10,2022-02-24,2022,Westpac,Bank Branch,NSW,Bondi,2150,House,Refinancer,Self-Employed,86.43,85-90%,1193000,1031100,1031100,14450,Active
LMI10054,CERT-2022-00054,2022-10-08,2022-11-08,2022,ANZ,Mortgage Broker,VIC,Box Hill,3008,House,Refinancer,PAYG,98.0,95%+,995000,975100,975100,29250,Active
LMI10055,CERT-2021-00055,2021-04-16,2021-05-21,2021,Westpac,Mortgage Broker,WA,Armadale,6005,Apartment,Owner Occupier,Self-Employed,96.46,95%+,531000,512200,512200,15350,In Arrears
LMI10056,CERT-2019-00056,2019-08-26,2019-10-04,2019,Westpac,Bank Branch,NSW,Wollongong,2200,House,Investor,PAYG,81.34,80-85%,1654000,1345400,1345400,12100,Active
LMI10057,CERT-2024-00057,2024-03-14,2024-04-15,2024,Suncorp,Mortgage Broker,QLD,Brisbane CBD,4005,House,First Home Buyer,PAYG,82.79,80-85%,652000,539800,539800,4850,Active
LMI10058,CERT-2024-00058,2024-02-13,2024-03-05,2024,Bank of Queensland,Bank Branch,VIC,Box Hill,3008,Apartment,Owner Occupier,PAYG,84.96,80-85%,912000,774800,774800,6950,Active
LMI10059,CERT-2020-00059,2020-01-26,2020-02-17,2020,Bank of Queensland,Mortgage Broker,VIC,Bendigo,3121,Apartment,First Home Buyer,PAYG,85.81,85-90%,1202000,1031400,1031400,14450,Closed
LMI10060,CERT-2019-00060,2019-11-01,2019-12-13,2019,ANZ,Bank Branch,VIC,Ringwood,3168,House,Owner Occupier,PAYG,96.52,95%+,968000,934300,934300,28050,Closed
LMI10061,CERT-2023-00061,2023-03-06,2023-04-19,2023,Macquarie,Mortgage Broker,NSW,Chatswood,2150,House,Refinancer,PAYG,90.31,90-95%,1482000,1338400,1338400,28100,Active
LMI10062,CERT-2023-00062,2023-09-27,2023-11-08,2023,Westpac,Mortgage Broker,TAS,Devonport,7000,House,Owner Occupier,Contract,85.59,85-90%,332000,284200,284200,4000,Active
LMI10063,CERT-2023-00063,2023-10-11,2023-11-15,2023,NAB,Online / Direct,NSW,Campbelltown,2150,House,Owner Occupier,PAYG,93.28,90-95%,1641000,1530700,1530700,32150,Active
LMI10064,CERT-2020-00064,2020-04-10,2020-04-29,2020,Bendigo Bank,Mortgage Broker,NSW,Bondi,2300,Apartment,Investor,PAYG,91.51,90-95%,1189000,1088100,1088100,22850,In Arrears
LMI10065,CERT-2019-00065,2019-10-26,2019-11-24,2019,Commonwealth Bank,Online / Direct,QLD,Sunshine Coast,4010,Apartment,First Home Buyer,Contract,86.94,85-90%,702000,610300,610300,8550,Closed
LMI10066,CERT-2020-00066,2020-06-06,2020-06-20,2020,Commonwealth Bank,Online / Direct,NSW,Blacktown,2200,Land,First Home Buyer,Contract,86.34,85-90%,1691000,1460000,1460000,20450,Active
LMI10067,CERT-2021-00067,2021-02-26,2021-04-11,2021,Westpac,Online / Direct,QLD,Redcliffe,4069,Apartment,First Home Buyer,PAYG,86.58,85-90%,477000,413000,413000,5800,Active
LMI10068,CERT-2022-00068,2022-05-26,2022-07-10,2022,Macquarie,Bank Branch,QLD,Rockhampton,4051,House,First Home Buyer,Self-Employed,90.34,90-95%,861000,777800,777800,16350,Active
LMI10069,CERT-2019-00069,2019-07-18,2019-08-03,2019,Commonwealth Bank,Bank Branch,QLD,Sunshine Coast,4700,Apartment,First Home Buyer,PAYG,90.77,90-95%,584000,530100,530100,11150,Closed
LMI10070,CERT-2024-00070,2024-02-14,2024-03-16,2024,NAB,Mortgage Broker,VIC,Ballarat,3145,House,Refinancer,PAYG,96.64,95%+,1178000,1138400,1138400,34150,Active
LMI10071,CERT-2024-00071,2024-06-29,2024-08-07,2024,Macquarie,Bank Branch,TAS,Launceston,7050,House,Owner Occupier,PAYG,93.65,90-95%,610000,571300,571300,12000,Active
LMI10072,CERT-2024-00072,2024-04-09,2024-05-16,2024,Bendigo Bank,Mortgage Broker,QLD,Rockhampton,4000,Townhouse,First Home Buyer,PAYG,89.13,85-90%,477000,425200,425200,5950,Active
LMI10073,CERT-2021-00073,2021-04-16,2021-05-07,2021,Commonwealth Bank,Online / Direct,WA,Fremantle,6065,House,Owner Occupier,PAYG,95.98,95%+,446000,428100,428100,12850,Active
LMI10074,CERT-2023-00074,2023-03-01,2023-03-24,2023,Westpac,Online / Direct,QLD,Rockhampton,4179,House,First Home Buyer,PAYG,96.32,95%+,889000,856300,856300,25700,Active
LMI10075,CERT-2022-00075,2022-11-05,2022-12-12,2022,Westpac,Bank Branch,SA,Adelaide CBD,5046,House,Investor,PAYG,90.59,90-95%,551000,499200,499200,10500,Active
LMI10076,CERT-2019-00076,2019-02-13,2019-03-02,2019,Commonwealth Bank,Mortgage Broker,QLD,Townsville,4217,House,First Home Buyer,Self-Employed,93.03,90-95%,837000,778700,778700,16350,Active
LMI10077,CERT-2019-00077,2019-01-06,2019-02-06,2019,Commonwealth Bank,Online / Direct,NSW,Blacktown,2090,House,First Home Buyer,Self-Employed,84.51,80-85%,1647000,1391900,1391900,12550,Active
LMI10078,CERT-2019-00078,2019-09-17,2019-10-27,2019,ANZ,Mortgage Broker,VIC,Werribee,3070,House,Owner Occupier,Self-Employed,68.98,≤80%,959000,661500,661500,3300,Active
LMI10079,CERT-2022-00079,2022-08-10,2022-08-25,2022,NAB,Mortgage Broker,SA,Gawler,5063,Townhouse,First Home Buyer,PAYG,91.58,90-95%,373000,341600,341600,7150,Active
LMI10080,CERT-2022-00080,2022-07-20,2022-08-23,2022,ANZ,Mortgage Broker,VIC,Box Hill,3055,Apartment,First Home Buyer,PAYG,81.45,80-85%,854000,695600,695600,6250,Active
LMI10081,CERT-2021-00081,2021-05-30,2021-07-11,2021,NAB,Bank Branch,WA,Bunbury,6050,House,First Home Buyer,Contract,89.34,85-90%,797000,712000,712000,9950,Closed
LMI10082,CERT-2019-00082,2019-06-24,2019-07-13,2019,Commonwealth Bank,Online / Direct,QLD,Mackay,4010,House,Owner Occupier,PAYG,85.55,85-90%,649000,555200,555200,7750,Active
LMI10083,CERT-2024-00083,2024-02-19,2024-03-07,2024,ANZ,Bank Branch,WA,Fremantle,6027,Apartment,First Home Buyer,PAYG,96.33,95%+,835000,804400,804400,24150,Active
LMI10084,CERT-2022-00084,2022-03-21,2022-04-18,2022,NAB,Mortgage Broker,WA,Albany,6150,Apartment,Owner Occupier,PAYG,88.84,85-90%,759000,674300,674300,9450,Active
LMI10085,CERT-2024-00085,2024-03-02,2024-04-06,2024,NAB,Bank Branch,NSW,Maitland,2020,Apartment,Refinancer,PAYG,88.84,85-90%,1099000,976400,976400,13650,Active
LMI10086,CERT-2019-00086,2019-11-19,2019-12-26,2019,Bendigo Bank,Bank Branch,VIC,Dandenong,3175,Apartment,First Home Buyer,PAYG,87.32,85-90%,804000,702100,702100,9850,Closed
LMI10087,CERT-2021-00087,2021-04-28,2021-05-29,2021,NAB,Mortgage Broker,VIC,Ballarat,3004,House,First Home Buyer,PAYG,88.07,85-90%,735000,647300,647300,9050,Active
LMI10088,CERT-2024-00088,2024-04-20,2024-05-17,2024,Commonwealth Bank,Mortgage Broker,ACT,Weston Creek,2605,House,First Home Buyer,PAYG,81.1,80-85%,1027000,832900,832900,7500,Active
LMI10089,CERT-2020-00089,2020-12-26,2021-01-13,2020,Bendigo Bank,Mortgage Broker,NSW,Parramatta,2170,House,Owner Occupier,PAYG,88.37,85-90%,1149000,1015400,1015400,14200,Active
LMI10090,CERT-2023-00090,2023-06-30,2023-08-12,2023,Macquarie,Bank Branch,NSW,Newcastle,2010,House,Owner Occupier,PAYG,69.87,≤80%,1619000,1131200,1131200,5650,Active
LMI10091,CERT-2019-00091,2019-12-11,2019-12-29,2019,NAB,Mortgage Broker,NSW,Campbelltown,2100,Apartment,First Home Buyer,PAYG,86.73,85-90%,1271000,1102300,1102300,15450,Active
LMI10092,CERT-2022-00092,2022-09-04,2022-09-22,2022,NAB,Mortgage Broker,NSW,Wollongong,2170,House,Investor,PAYG,93.83,90-95%,911000,854800,854800,17950,Active
LMI10093,CERT-2022-00093,2022-07-08,2022-08-11,2022,Westpac,Bank Branch,QLD,Maroochydore,4179,House,Owner Occupier,PAYG,94.33,90-95%,500000,471600,471600,9900,In Arrears
LMI10094,CERT-2019-00094,2019-06-07,2019-06-26,2019,Bendigo Bank,Mortgage Broker,VIC,St Kilda,3168,Apartment,Owner Occupier,PAYG,84.18,80-85%,1023000,861200,861200,7750,Active
LMI10095,CERT-2019-00095,2019-07-31,2019-09-04,2019,NAB,Online / Direct,VIC,Geelong,3000,House,Owner Occupier,PAYG,80.4,80-85%,1287000,1034700,1034700,9300,Closed
LMI10096,CERT-2022-00096,2022-10-22,2022-11-08,2022,Commonwealth Bank,Mortgage Broker,SA,Victor Harbor,5006,House,Owner Occupier,PAYG,88.89,85-90%,642000,570700,570700,8000,Active
LMI10097,CERT-2022-00097,2022-04-08,2022-05-01,2022,NAB,Bank Branch,SA,Tea Tree Gully,5290,Apartment,First Home Buyer,PAYG,91.73,90-95%,689000,632000,632000,13250,Active
LMI10098,CERT-2022-00098,2022-12-10,2022-12-29,2022,Westpac,Bank Branch,QLD,Brisbane CBD,4101,House,Investor,PAYG,85.73,85-90%,762000,653300,653300,9150,Active
LMI10099,CERT-2023-00099,2023-09-26,2023-10-16,2023,Commonwealth Bank,Mortgage Broker,NSW,Gosford,2500,Apartment,First Home Buyer,PAYG,80.48,80-85%,1268000,1020500,1020500,9200,Active
LMI10100,CERT-2023-00100,2023-07-15,2023-08-08,2023,NAB,Online / Direct,NSW,Chatswood,2100,Apartment,Investor,Self-Employed,93.88,90-95%,1499000,1407300,1407300,29550,In Arrears
LMI10101,CERT-2023-00101,2023-05-26,2023-07-09,2023,Suncorp,Mortgage Broker,NSW,Maitland,2300,House,Owner Occupier,PAYG,84.83,80-85%,1696000,1438700,1438700,12950,Active
LMI10102,CERT-2019-00102,2019-10-11,2019-11-10,2019,Bendigo Bank,Bank Branch,TAS,New Norfolk,7005,Apartment,First Home Buyer,Contract,94.03,90-95%,317000,298100,298100,6250,Active
LMI10103,CERT-2020-00103,2020-03-30,2020-05-11,2020,Westpac,Mortgage Broker,NSW,Gosford,2150,House,First Home Buyer,PAYG,89.74,85-90%,1675000,1503100,1503100,21050,Active
LMI10104,CERT-2019-00104,2019-10-27,2019-11-18,2019,ANZ,Mortgage Broker,NSW,Bondi,2020,Townhouse,First Home Buyer,PAYG,91.74,90-95%,761000,698100,698100,14650,Active
LMI10105,CERT-2021-00105,2021-05-16,2021-06-06,2021,NAB,Mortgage Broker,NSW,Newcastle,2060,House,Investor,PAYG,96.87,95%+,1558000,1509200,1509200,45300,Active
LMI10106,CERT-2023-00106,2023-01-11,2023-02-03,2023,Commonwealth Bank,Mortgage Broker,VIC,Ringwood,3175,House,First Home Buyer,Contract,92.92,90-95%,790000,734100,734100,15400,Default
LMI10107,CERT-2019-00107,2019-02-11,2019-03-21,2019,Westpac,Bank Branch,VIC,Bendigo,3121,Apartment,First Home Buyer,Self-Employed,92.59,90-95%,1209000,1119400,1119400,23500,In Arrears
LMI10108,CERT-2020-00108,2020-11-11,2020-12-03,2020,ANZ,Mortgage Broker,QLD,Maroochydore,4010,Apartment,Investor,PAYG,93.7,90-95%,443000,415100,415100,8700,Closed
LMI10109,CERT-2019-00109,2019-03-31,2019-04-26,2019,ANZ,Bank Branch,QLD,Mackay,4122,Apartment,First Home Buyer,Self-Employed,86.54,85-90%,889000,769300,769300,10750,Active
LMI10110,CERT-2023-00110,2023-06-26,2023-08-02,2023,Westpac,Bank Branch,NSW,Newcastle,2170,Apartment,First Home Buyer,Self-Employed,91.44,90-95%,1192000,1090000,1090000,22900,Active
LMI10111,CERT-2021-00111,2021-05-31,2021-06-25,2021,Westpac,Mortgage Broker,NSW,Penrith,2300,House,Owner Occupier,PAYG,82.18,80-85%,1309000,1075700,1075700,9700,Active
LMI10112,CERT-2021-00112,2021-06-09,2021-07-10,2021,Westpac,Mortgage Broker,NSW,Chatswood,2300,Apartment,First Home Buyer,PAYG,91.83,90-95%,1411000,1295700,1295700,27200,Active
LMI10113,CERT-2019-00113,2019-09-16,2019-10-04,2019,ANZ,Mortgage Broker,WA,Perth CBD,6150,Townhouse,First Home Buyer,Self-Employed,92.25,90-95%,491000,452900,452900,9500,Active
LMI10114,CERT-2022-00114,2022-08-23,2022-09-23,2022,ANZ,Mortgage Broker,VIC,Frankston,3350,House,First Home Buyer,PAYG,87.05,85-90%,760000,661600,661600,9250,Active
LMI10115,CERT-2024-00115,2024-02-20,2024-04-05,2024,Commonwealth Bank,Mortgage Broker,VIC,Box Hill,3004,Land,Investor,Contract,95.93,95%+,724000,694500,694500,20850,In Arrears
LMI10116,CERT-2022-00116,2022-01-31,2022-03-04,2022,ANZ,Bank Branch,ACT,Weston Creek,2602,House,First Home Buyer,Self-Employed,93.58,90-95%,1092000,1021900,1021900,21450,Active
LMI10117,CERT-2023-00117,2023-07-04,2023-07-26,2023,AMP Bank,Mortgage Broker,NSW,Newcastle,2090,House,Investor,Self-Employed,86.91,85-90%,1381000,1200200,1200200,16800,In Arrears
LMI10118,CERT-2021-00118,2021-07-10,2021-08-22,2021,ANZ,Mortgage Broker,NSW,Chatswood,2200,House,Owner Occupier,Self-Employed,96.96,95%+,1455000,1410800,1410800,42300,Closed
LMI10119,CERT-2019-00119,2019-11-28,2020-01-01,2019,Macquarie,Bank Branch,WA,Rockingham,6100,Apartment,Owner Occupier,PAYG,86.59,85-90%,819000,709200,709200,9950,Closed
LMI10120,CERT-2019-00120,2019-12-12,2020-01-04,2019,Commonwealth Bank,Online / Direct,NSW,Maitland,2100,House,Investor,Self-Employed,87.56,85-90%,905000,792400,792400,11100,Closed
LMI10121,CERT-2022-00121,2022-06-19,2022-07-04,2022,ING,Mortgage Broker,NSW,Chatswood,2090,Apartment,Owner Occupier,PAYG,82.9,80-85%,1258000,1042900,1042900,9400,Active
LMI10122,CERT-2021-00122,2021-09-18,2021-10-31,2021,NAB,Online / Direct,NSW,Campbelltown,2500,Townhouse,First Home Buyer,PAYG,82.25,80-85%,940000,773200,773200,6950,Active
LMI10123,CERT-2020-00123,2020-07-01,2020-08-12,2020,Westpac,Online / Direct,VIC,Craigieburn,3121,Townhouse,Investor,Contract,87.39,85-90%,759000,663300,663300,9300,Active
LMI10124,CERT-2021-00124,2021-11-20,2022-01-02,2021,ING,Mortgage Broker,QLD,Gold Coast,4000,Townhouse,First Home Buyer,PAYG,80.88,80-85%,684000,553200,553200,5000,Active
LMI10125,CERT-2022-00125,2022-09-01,2022-10-15,2022,NAB,Mortgage Broker,NSW,Penrith,2020,House,Owner Occupier,PAYG,89.42,85-90%,1029000,920100,920100,12900,Default
LMI10126,CERT-2021-00126,2021-10-29,2021-12-10,2021,Commonwealth Bank,Online / Direct,NSW,Maitland,2300,House,Investor,PAYG,85.46,85-90%,1546000,1321200,1321200,18500,Closed
LMI10127,CERT-2021-00127,2021-11-08,2021-12-17,2021,Westpac,Mortgage Broker,SA,Tea Tree Gully,5008,House,Owner Occupier,PAYG,91.08,90-95%,535000,487300,487300,10250,In Arrears
LMI10128,CERT-2022-00128,2022-06-16,2022-07-19,2022,ANZ,Mortgage Broker,NSW,Gosford,2200,House,First Home Buyer,PAYG,90.9,90-95%,1361000,1237100,1237100,26000,Active
LMI10129,CERT-2024-00129,2024-01-15,2024-01-30,2024,ANZ,Mortgage Broker,NSW,Maitland,2300,House,First Home Buyer,PAYG,86.61,85-90%,1365000,1182200,1182200,16550,Active
LMI10130,CERT-2022-00130,2022-10-26,2022-11-24,2022,Commonwealth Bank,Bank Branch,QLD,Townsville,4005,House,Owner Occupier,PAYG,90.82,90-95%,437000,396900,396900,8350,Active
LMI10131,CERT-2023-00131,2023-02-15,2023-03-04,2023,AMP Bank,Mortgage Broker,QLD,Logan,4207,House,Refinancer,PAYG,97.63,95%+,794000,775200,775200,23250,Active
LMI10132,CERT-2023-00132,2023-11-12,2023-12-12,2023,ANZ,Bank Branch,VIC,Ballarat,3011,Townhouse,First Home Buyer,PAYG,88.41,85-90%,1019000,900900,900900,12600,Active
LMI10133,CERT-2020-00133,2020-12-15,2021-01-15,2020,ING,Mortgage Broker,NSW,Campbelltown,2150,House,First Home Buyer,Self-Employed,91.65,90-95%,1031000,944900,944900,19850,Active
LMI10134,CERT-2021-00134,2021-09-08,2021-10-05,2021,Commonwealth Bank,Mortgage Broker,VIC,Ballarat,3350,House,First Home Buyer,PAYG,86.36,85-90%,725000,626100,626100,8750,Closed
